Operation Name,x,y,Physical Address: City,County Code,County,Mailing Address: ZIP/ Postal Code,County Code,County
1895 Organic Farm,39.947232,-74.783825,Lumberton,5,Burlington County,8048,,
ACF Organics,40.896844,-74.235325,Totowa,31,Passaic County,7512,,
Alstede Farms,40.779093,-74.713809,Chester,,,7930,,
Applegate Farms,40.574403,-74.667634,Bridgewater,,,8807,,
Barsuglia Farms,39.461575,-74.947001,Vineland,11,Cumberland County,8361,,
Big Buck Farms,39.660555,-74.754127,Hammonton,1,Atlantic County,8037,,
Bluebird Farms LLC,39.680316,-74.828132,Hammonton,7,Camden County,8037,,
Bodhi Tree Farm,39.964429,-74.628417,New Lisbon,,,8064,,
Brookberry Farms,39.665397,-74.821989,Hammonton,,,8037,,
Cecil Creek Farm,39.794001,-75.245617,Mickleton,15,Gloucester County,,,
Cherry Grove Farm,40.308574,-74.712434,Lawrenceville,21,Mercer County,8648,,
Chickadee Creek Farm,40.349162,-74.783206,Pennington,21,Mercer County,8534,,
Circle Brook Farm,40.987077,-74.764718,Andover,37,Sussex County,7821,,
Clifford Family Farm,40.588572,-75.118188,Milford,19,Hunterdon County,8848,,
Comeback Farm,40.684169,-75.020385,Asbury,,,8802,,
Danlynn Farms,39.738098,-75.429002,Pedricktown,33,Salem County,8067,,
Del Rey Farms,39.50608,-74.990508,Vineland,,,8361,11,Cumberland County
Dogwood Farms,40.663712,-74.578344,Hillsborough,35,Somerset County,8844,,
D'Ottavio Farms,39.502601,-74.996201,Vineland,11,Cumberland County,,,
Dunwald Farms,40.410276,-74.768975,Hopewell,21,Mercer County,8525,,
English Farm,40.665068,-74.578461,Liberty Corner,35,Somerset County,7938,,
Flocktown Farm,40.547271,-74.974062,Pittstown,19,Hunterdon County,8867,,
Goffle Road Poultry Farm,40.974225,-74.147931,Wyckoff,,,7481,,
Greenflash Farm,40.403014,-74.695141,Skillman,35,Somerset County,8558,,
Greg Clark Farms LLC,39.627206,-74.821711,Hammonton,1,Atlantic County,,,
Harrison Brook Farm,40.661973,-74.580018,Liberty Corner,,,7938,,
Herbal Dream Farm LLC,40.947219,-74.987951,Blairstown,41,Warren County,7825,,
Honey Brook Organic Farm,40.356147,-74.764565,Pennington,21,Mercer County,8534,,
Jersey Legacy Farms,39.341631,-75.236694,Cedarville,11,Cumberland County,8311,,
Kariba Farms,40.890831,-74.551592,,,,7834,27,Morris County
Kimball's Farm,40.851435,-75.037603,White Township,41,Warren County,7823,,
Kittatinny Mountain Farm,41.292555,-74.652266,Wantage,37,Sussex County,7461,,
Let It Grow Farm,40.787869,-74.703732,Chester,,,,,
Lockatong Organic Herb Farm,40.462747,-75.023886,Frenchtown,,,8825,,
Marolda Farm Inc.,39.50659,-74.944748,,,,8360,1,Atlantic County
Martenette Farms ,40.487015,-74.736678,Hillsborough,,,8844,,
Marus Farms,39.553082,-74.659189,Egg Harbor City,1,Atlantic County,8037,,
Misty Acres Farm,40.559237,-74.77245,Flemington,19,Hunterdon County,8822,,
Mushroom King Farm,40.291291,-74.363738,Manalapan,25,Monmouth County,7751,,
Muth Family Farm,39.704278,-75.058127,Williamstown,15,Gloucester County,8071,,
Muzzarelli Farms Inc.,39.497948,-74.957784,Vineland,1,Atlantic County,,,
